aX,aY,aZ,gX,gY,gZ
-2.896,-0.356,2.408,71.777,158.691,492.981
-2.797,-0.142,2.125,82.642,178.162,451.904
-2.652,0.037,1.852,88.379,182.861,361.206
-2.256,0.247,1.419,80.261,171.204,315.796
-2.044,0.302,1.293,56.702,121.765,236.877
-1.656,0.426,1.260,43.457,91.431,204.529
-1.480,0.487,1.305,12.024,49.744,148.132
-1.189,0.544,1.334,-0.244,40.710,123.047
-1.066,0.534,1.299,-10.681,35.522,99.792
-0.946,0.518,1.258,-28.259,33.936,56.213
-0.682,0.506,1.180,-30.457,39.978,35.217
-0.554,0.490,1.131,-18.982,69.397,-3.784
-0.325,0.453,0.983,-9.766,88.257,-21.667
-0.209,0.423,0.905,-1.465,103.210,-39.185
-0.114,0.367,0.837,-2.747,108.154,-66.833
0.063,0.197,0.708,-15.686,100.220,-76.233
0.125,0.112,0.652,-48.157,81.116,-84.717
0.261,0.014,0.573,-43.030,78.003,-83.801
0.266,0.024,0.589,59.448,61.157,-68.481
0.157,0.051,0.632,116.089,51.575,-72.266
0.173,0.111,0.649,149.597,50.354,-102.539
0.424,0.148,0.750,134.460,-7.751,-86.670
0.018,0.050,1.012,36.560,-51.697,-11.230
-0.243,0.008,0.991,-122.986,-36.499,-57.739
-0.287,0.073,0.874,-106.262,-1.404,-136.780
-0.281,0.064,0.811,-73.547,30.518,-184.814
-0.333,0.010,0.741,-66.406,93.567,-227.722
-0.447,-0.152,0.574,-75.989,135.132,-252.380
-0.435,-0.241,0.478,-51.575,223.816,-290.649
-0.439,-0.420,0.314,-24.414,258.057,-298.096
-0.847,1.005,-0.865,-86.853,90.698,-196.472
-0.812,0.995,-0.949,-75.378,76.416,-227.722
-0.719,0.956,-1.078,-68.909,64.209,-242.432
-0.655,0.922,-1.148,-61.829,31.067,-269.836
-0.498,0.857,-1.232,-59.143,12.573,-283.203
-0.422,0.832,-1.193,-51.025,0.916,-299.622
-0.365,0.793,-1.097,-18.188,33.508,-357.361
-0.357,0.567,-0.928,-0.244,79.407,-401.672
-0.377,0.322,-0.980,2.380,179.016,-518.860
-0.433,-0.535,-1.472,-23.437,203.003,-584.106
-0.590,-1.158,-1.829,-141.602,130.371,-719.116
-0.785,-3.279,-2.805,-193.665,53.528,-786.499
-0.571,-4.000,-3.197,-166.626,-42.847,-837.646
-0.246,-4.000,-3.292,206.177,-195.129,-835.022
0.301,-4.000,-3.133,432.739,-213.806,-747.070
0.344,-3.966,-3.007,477.417,-375.854,-376.648
-0.692,-3.998,-1.775,300.903,-548.218,-155.579
-1.490,-4.000,-0.846,-8.911,-808.472,189.758
-2.496,-4.000,0.737,-8.301,-819.519,288.513
-2.784,-3.999,1.468,75.684,-760.742,352.722
-3.006,-3.999,2.190,284.668,-578.186,438.415
-3.156,-4.000,3.152,345.520,-505.066,479.919
-3.214,-4.000,3.260,346.863,-411.926,583.984
-3.459,-3.994,3.203,316.162,-381.531,636.230
-3.548,-3.893,3.251,269.226,-326.355,714.050
-3.584,-3.102,3.330,248.230,-292.419,732.544
-3.494,-2.623,3.231,220.642,-251.282,730.347
-3.351,-2.192,3.080,171.692,-161.804,675.293
-2.944,-1.518,2.702,179.749,-129.333,633.362
-2.756,-1.265,2.541,205.994,-95.154,549.011
-2.531,-0.878,2.499,204.407,-81.970,515.015
-2.455,-0.805,2.562,188.660,-68.909,487.854
-2.366,-0.806,2.609,115.234,-57.312,455.261
-2.136,-0.730,2.533,75.073,-62.195,448.608
-2.033,-0.545,2.386,6.531,-64.880,410.156
-1.813,-0.225,2.027,-30.762,-47.913,363.892
-1.616,-0.193,1.811,-92.896,15.198,259.277
